GameID,posteam,InterceptionThrown,Fumble,Touchdown,FieldGoalResult,Penalty.Yards,Yards.Gained,ReturnResult,Sack,PosTeamScore,DefTeamScore,win
2009092712,OAK,2,3,0,1,35,257,0,3,3.0,23.0,0
2009092713,MIA,1,1,2,2,30,407,1,1,13.0,22.0,0
2009092713,SD,0,1,1,3,29,425,0,2,22.0,13.0,1
2009092714,ARI,2,3,1,1,79,446,0,4,10.0,31.0,0
2009092714,IND,1,1,4,1,25,564,0,0,31.0,10.0,1
2009092800,CAR,2,2,2,0,50,478,1,3,7.0,19.0,0
2009092800,DAL,0,0,2,2,90,497,0,2,19.0,7.0,1
2009100400,CHI,0,2,6,3,1,400,1,2,47.0,24.0,1
2009100400,DET,1,1,3,2,86,631,0,5,24.0,48.0,0
2009100401,CIN,1,2,2,1,65,626,0,2,19.0,20.0,0
2009100401,CLE,1,1,4,2,25,542,1,2,20.0,19.0,1
2009100402,HOU,1,1,3,2,40,458,1,4,29.0,6.0,1
2009100402,OAK,0,2,0,2,25,333,0,2,6.0,29.0,0
2009100403,IND,1,1,4,2,40,468,0,0,34.0,17.0,1
2009100403,SEA,0,2,2,1,53,438,0,5,16.0,34.0,0
2009100404,JAC,0,1,4,3,82,543,0,2,37.0,17.0,1
2009100404,TEN,2,1,2,1,16,480,0,0,17.0,37.0,0
2009100405,KC,0,5,2,1,59,352,0,5,16.0,27.0,0
2009100405,NYG,1,1,3,2,50,455,0,2,27.0,16.0,1
2009100406,BAL,1,2,2,0,50,509,0,2,20.0,27.0,0
2009100406,NE,0,1,4,2,76,432,1,3,27.0,20.0,1
2009100407,TB,1,1,1,2,40,323,0,3,13.0,16.0,0
2009100407,WAS,3,2,2,1,40,346,0,3,16.0,13.0,1
2009100408,BUF,3,1,2,1,54,410,1,6,10.0,31.0,0
2009100408,MIA,0,3,4,1,10,451,1,6,31.0,10.0,1
2009100409,NO,0,2,1,1,36,383,0,0,16.0,10.0,1
2009100409,NYJ,3,1,3,1,55,283,2,4,10.0,16.0,0
2009100410,DAL,1,2,1,1,66,440,0,5,10.0,17.0,0
2009100410,DEN,0,2,2,1,85,420,0,3,17.0,10.0,1
2009100411,SF,0,0,3,0,64,276,1,4,20.0,6.0,1
2009100411,STL,1,1,2,0,42,378,2,5,6.0,20.0,0
2009100412,PIT,1,2,5,1,40,597,0,3,44.0,27.0,1
2009100412,SD,0,2,4,0,39,442,1,3,27.0,44.0,0
2009100500,GB,1,2,2,1,46,596,0,8,19.0,30.0,0
2009100500,MIN,1,1,5,0,22,386,1,0,30.0,22.0,1
2009101100,BAL,2,0,1,0,40,373,0,2,13.0,17.0,0
2009101100,CIN,1,2,3,1,75,470,1,2,17.0,13.0,1
2009101101,BUF,1,1,0,1,99,295,0,2,3.0,6.0,0
2009101101,CLE,1,1,0,2,5,252,0,2,3.0,3.0,0
2009101102,CAR,1,3,2,1,25,357,0,4,20.0,17.0,1
2009101102,WAS,0,2,2,1,22,254,0,5,17.0,20.0,0
2009101103,DET,1,4,1,2,85,470,0,7,19.0,28.0,0
2009101103,PIT,2,1,5,0,40,498,1,3,28.0,19.0,1
2009101104,DAL,0,2,3,2,50,658,0,1,20.0,20.0,0
2009101104,KC,0,0,2,2,90,440,0,4,20.0,20.0,0
2009101105,NYG,0,2,5,3,59,500,0,0,44.0,7.0,1
2009101105,OAK,0,3,1,0,45,303,0,6,7.0,44.0,0
2009101106,PHI,0,1,4,1,35,416,0,3,33.0,14.0,1
2009101106,TB,3,2,3,0,106,489,0,4,14.0,31.0,0
